# 4ph linewidth Gamma at 300 K on the irreducible points of the 8 8 8 mesh (from BAs.kappa.h5, /scattering/4ph); modes with Gamma = 0 (acoustic at Gamma) are omitted
# Frequency [cm^-1]  Gamma [cm^-1] (tau = 1/(2 Gamma))
    704.3607   1.123492e-01
    704.3607   1.069722e-01
    704.3607   1.109884e-01
     67.0370   1.089756e-04
     67.0370   1.193636e-04
    121.0390   6.467027e-04
    697.6338   1.137096e-01
    697.6338   1.056950e-01
    704.7419   1.096198e-01
    111.6580   7.896979e-04
    111.6580   8.370661e-04
    223.7203   4.333849e-03
    686.3667   1.139069e-01
    686.3667   1.133667e-01
    708.6870   1.111107e-01
    133.2865   1.947065e-03
    133.2865   1.997186e-03
    289.9418   6.270436e-03
    681.8031   1.152671e-01
    681.8031   1.182458e-01
    713.3112   1.155113e-01
    140.0520   2.828529e-03
    140.0520   2.464867e-03
    311.9476   5.532924e-03
    681.2178   1.151311e-01
    681.2178   1.185114e-01
    711.2913   1.157355e-01
     88.4456   3.005595e-04
     88.4456   3.055281e-04
    126.0454   5.940240e-04
    690.1701   1.119738e-01
    690.1701   1.102617e-01
    712.5727   1.082816e-01
    123.9693   1.123151e-03
    133.7313   1.183571e-03
    199.9957   3.398500e-03
    677.9201   1.174747e-01
    678.9466   1.161053e-01
    713.7236   1.099716e-01
    144.2264   2.280261e-03
    164.8751   2.588921e-03
    266.9385   6.089194e-03
    668.9881   1.208133e-01
    671.5748   1.226365e-01
    715.6213   1.121398e-01
    153.4345   3.021502e-03
    175.7684   3.641306e-03
    301.2041   6.008838e-03
    665.0657   1.218158e-01
    670.5751   1.244764e-01
    713.9525   1.142708e-01
    151.5252   2.682200e-03
    173.7183   3.625697e-03
    293.9389   6.272056e-03
    666.2501   1.221509e-01
    672.1659   1.238819e-01
    712.7453   1.137855e-01
    135.8061   1.494610e-03
    160.9127   2.556840e-03
    245.0596   5.260219e-03
    670.8910   1.188121e-01
    677.6823   1.185617e-01
    711.1526   1.107403e-01
    100.9011   4.272460e-04
    126.6600   1.045937e-03
    173.0306   2.323553e-03
    683.6477   1.129002e-01
    690.2423   1.103855e-01
    706.3226   1.081680e-01
    151.4030   2.209243e-03
    151.4030   2.167385e-03
    231.4548   4.308851e-03
    664.5623   1.232907e-01
    664.5623   1.215875e-01
    724.8706   1.001515e-01
    168.3066   3.392557e-03
    189.5157   3.927184e-03
    266.8603   6.156311e-03
    653.1794   1.245714e-01
    656.4806   1.265306e-01
    725.8968   9.931959e-02
    176.3611   4.183796e-03
    226.3820   4.669084e-03
    283.9737   7.187838e-03
    643.2557   1.161922e-01
    654.0655   1.286762e-01
    721.3340   1.073534e-01
    175.0124   3.972093e-03
    237.1651   5.038273e-03
    282.2671   6.915706e-03
    644.2552   1.141859e-01
    655.8144   1.298095e-01
    716.5487   1.130207e-01
    162.5385   2.816212e-03
    222.0193   4.593897e-03
    259.0729   6.342583e-03
    652.3843   1.196096e-01
    662.9048   1.275758e-01
    712.7488   1.128974e-01
    182.5959   4.508989e-03
    182.5959   4.664142e-03
    299.4465   6.198213e-03
    647.6916   1.274512e-01
    647.6916   1.288824e-01
    737.4537   8.337418e-02
    188.9290   5.266113e-03
    211.1266   5.361878e-03
    307.4970   6.161981e-03
    640.6518   1.180363e-01
    645.0650   1.278360e-01
    733.7653   8.950163e-02
    187.4275   4.973417e-03
    248.7092   5.201707e-03
    289.7714   7.252707e-03
    636.6825   1.049538e-01
    647.7430   1.298852e-01
    723.9173   1.048207e-01
    191.9776   5.125580e-03
    191.9776   6.319838e-03
    322.3999   5.457188e-03
    641.7903   1.094186e-01
    641.7903   1.398326e-01
    742.9709   7.671525e-02
    156.4001   2.202275e-03
    177.3228   3.266990e-03
    236.5102   5.065729e-03
    662.2662   1.213677e-01
    668.2671   1.217419e-01
    715.8781   1.106430e-01
    175.2782   3.560728e-03
    208.0566   4.489936e-03
    272.9919   6.673982e-03
    651.6195   1.213797e-01
    659.6033   1.268063e-01
    715.1468   1.128518e-01
    180.3676   4.078495e-03
    215.9048   4.848074e-03
    289.9785   6.603097e-03
    647.9545   1.193358e-01
    657.6503   1.275947e-01
    714.8252   1.136920e-01
    197.1439   4.633740e-03
    207.2005   4.954923e-03
    284.7757   7.024734e-03
    644.3877   1.211500e-01
    648.2320   1.272823e-01
    724.4975   1.029019e-01
    203.8203   4.960645e-03
    243.6209   5.184378e-03
    281.3822   7.362092e-03
    636.0507   1.035370e-01
    646.1851   1.263629e-01
    719.5620   1.100151e-01
    197.4831   4.481440e-03
    251.0890   5.037503e-03
    269.1624   7.305136e-03
    638.9964   1.067769e-01
    649.1515   1.275705e-01
    716.0698   1.131683e-01
    209.1662   5.433431e-03
    216.1910   5.424702e-03
    304.0334   6.383579e-03
    638.1645   1.119360e-01
    642.2816   1.226153e-01
    728.3704   9.802423e-02
    225.5337   4.937890e-03
    258.0460   4.648575e-03
    266.5977   8.332936e-03
    629.0906   8.870393e-02
    642.6874   1.208381e-01
    718.1082   1.115450e-01
